CountDense,CountActivation,CountDropout,CountFlatten,CountInputLayer,CountConv1D,CountConv2D,CountConv3D,CountMaxPooling1D,CountMaxPooling2D,CountMaxPooling3D,CountSimpleRNN,CountGRU,CountLSTM,CountEmbedding,CountBatchNormalization,CountLayerNormalization,Countsoftmax,Countrelu,Counttanh,Countsigmoid,Counthard_sigmoid,Countexponential,Countlinear,CountL1,CountL2,CountL1L2,Model_File,Total_Params,Trainable_Params,Num_Neurons,Max_Neurons,Min_Neurons,Max_Dimension_Input,Min_Dimension_Input,Max_Dimension_Output,Min_Dimension_Output,Max_Input_Output_Dimension_Mismatch_Count,Max_Dropout_Rate,Min_Dropout_Rate,Number_of_Layers,Layer_Diversity,Activation_Presence,Avg_Params_Per_Layer,Input_Output_Mismatch_Count_Layer,Buggy
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,119_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1209_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,120_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1210_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1211_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1212_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1213_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1214_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1215_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1216_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1217_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1218_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1219_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,121_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1220_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1221_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1222_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1223_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1224_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1225_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1226_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1227_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1228_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1229_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,122_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1230_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1231_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1232_67169344_Layer_buggy.h5,591361,591361,2,256,1,256,1,256,1,0,0.2,0.2,6,3,0.5,98560.16666666669,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,123_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,124_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,125_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,126_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,127_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,128_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,129_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,130_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,131_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,132_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1338_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1339_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,133_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1340_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1341_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1342_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1343_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1344_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1345_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1346_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1347_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1348_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1349_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,134_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1350_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1351_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1352_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1353_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1354_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1355_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1356_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1357_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1358_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1359_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,135_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1360_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1361_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,1362_67727890_Layer_buggy.h5,94753,94753,6,50,3,50,5,50,3,0,0.1,0.1,11,3,0.5454545454545454,8613.90909090909,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,136_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,137_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,138_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,139_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,140_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,141_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,142_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,143_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,144_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1450_68103873_Layer_buggy.h5,1033857,1033857,2,128,1,640,3,640,1,0,0.0,0.0,4,3,0.5,258464.25,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1451_68103873_Layer_buggy.h5,1033857,1033857,2,128,1,640,3,640,1,0,0.0,0.0,4,3,0.5,258464.25,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1452_68103873_Layer_buggy.h5,1033857,1033857,2,128,1,640,3,640,1,0,0.0,0.0,4,3,0.5,258464.25,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1453_68103873_Layer_buggy.h5,1033857,1033857,2,128,1,640,3,640,1,0,0.0,0.0,4,3,0.5,258464.25,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1454_68103873_Layer_buggy.h5,1033857,1033857,2,128,1,640,3,640,1,0,0.0,0.0,4,3,0.5,258464.25,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1455_68103873_Layer_buggy.h5,1033857,1033857,2,128,1,640,3,640,1,0,0.0,0.0,4,3,0.5,258464.25,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1456_68103873_Layer_buggy.h5,1033857,1033857,2,128,1,640,3,640,1,0,0.0,0.0,4,3,0.5,258464.25,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1457_68103873_Layer_buggy.h5,1033857,1033857,2,128,1,640,3,640,1,0,0.0,0.0,4,3,0.5,258464.25,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1458_68103873_Layer_buggy.h5,1033857,1033857,2,128,1,640,3,640,1,0,0.0,0.0,4,3,0.5,258464.25,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1459_68103873_Layer_buggy.h5,1033857,1033857,2,128,1,640,3,640,1,0,0.0,0.0,4,3,0.5,258464.25,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,145_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1460_68103873_Layer_buggy.h5,1033857,1033857,2,128,1,640,3,640,1,0,0.0,0.0,4,3,0.5,258464.25,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1461_68103873_Layer_buggy.h5,1033857,1033857,2,128,1,640,3,640,1,0,0.0,0.0,4,3,0.5,258464.25,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1462_68103873_Layer_buggy.h5,1033857,1033857,2,128,1,640,3,640,1,0,0.0,0.0,4,3,0.5,258464.25,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1463_68103873_Layer_buggy.h5,1033857,1033857,2,128,1,640,3,640,1,0,0.0,0.0,4,3,0.5,258464.25,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1464_68103873_Layer_buggy.h5,1033857,1033857,2,128,1,640,3,640,1,0,0.0,0.0,4,3,0.5,258464.25,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1465_68103873_Layer_buggy.h5,1033728,1033728,1,128,128,640,3,640,3,0,0.0,0.0,3,2,0.3333333333333333,344576.0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1466_68103873_Layer_buggy.h5,1033728,1033728,1,128,128,640,3,640,3,0,0.0,0.0,3,2,0.3333333333333333,344576.0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1467_68103873_Layer_buggy.h5,1033728,1033728,1,128,128,640,3,640,3,0,0.0,0.0,3,2,0.3333333333333333,344576.0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1468_68103873_Layer_buggy.h5,1033728,1033728,1,128,128,640,3,640,3,0,0.0,0.0,3,2,0.3333333333333333,344576.0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1469_68103873_Layer_buggy.h5,1033728,1033728,1,128,128,640,3,640,3,0,0.0,0.0,3,2,0.3333333333333333,344576.0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,146_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,147_34311586_Layer_buggy.h5,19,19,3,3,1,3,2,3,1,0,0.0,0.0,3,1,1.0,6.333333333333333,0,1
